,name,deck,cost_treasure,cost_debt,cost_potion
0,Cathedral,Renaissance,3,0,0
1,City Gate,Renaissance,3,0,0
2,Pageant,Renaissance,3,0,0
3,Sewers,Renaissance,3,0,0
4,Star Chart,Renaissance,3,0,0
5,Exploration,Renaissance,4,0,0
6,Fair,Renaissance,4,0,0
7,Silos,Renaissance,4,0,0
8,Sinister Plot,Renaissance,4,0,0
9,Academy,Renaissance,5,0,0
10,Capitalism,Renaissance,5,0,0
11,Fleet,Renaissance,5,0,0
12,Guildhall,Renaissance,5,0,0
13,Piazza,Renaissance,5,0,0
14,Road Network,Renaissance,5,0,0
15,Barracks,Renaissance,6,0,0
16,Crop Rotation,Renaissance,6,0,0
17,Innovation,Renaissance,6,0,0
18,Canal,Renaissance,7,0,0
19,Citadel,Renaissance,8,0,0
